m/z,RT (min),z,Obs Mass,Specificity,P-value,Escore 12ca5,Escore Norm 12ca5,Ln(Fold Change) 12ca5,Escore Rank 12ca5,Escore Norm Rank 12ca5,Fold Change Rank 12ca5,Total Rank 12ca5,Total Norm Rank 12ca5,Escore BeadsOnly,Escore Norm BeadsOnly,Ln(Fold Change) BeadsOnly,Escore Rank BeadsOnly,Escore Norm Rank BeadsOnly,Fold Change Rank BeadsOnly,Total Rank BeadsOnly,Total Norm Rank BeadsOnly
427.9112367762048,26.470885989857138,2.0,853.8079206124096,BeadsOnly,3.3046723320004514e-05,0.17317016843001468,86076305.46273182,0.0,4819,7018,11060,15879,18078,0.8268298315699852,410985666.8337198,10.430333672937333,2571,6979,1371,3942,8350
364.6443118767441,27.2352081211985,3.0,1090.9111062202323,BeadsOnly,4.1549443751887075e-05,0.029741030366840195,7422081.0009183055,0.0,5723,10235,3225,8948,13460,0.9702589696331598,242134874.80628753,11.335708423260145,6783,433,364,7147,797
319.3040163257302,42.13479700856433,5.0,1591.4836992786509,BeadsOnly,0.004142849848072925,0.16816659926470728,82605621.34004402,0.0,9776,1771,10723,20499,12494,0.8318334007352928,408607388.2660809,10.615969142881694,4729,3209,3768,8497,6977
614.9583344498578,62.30858520116615,3.0,1841.8531739395735,BeadsOnly,0.042752207683502456,0.31051253706449966,12866940.467857126,0.0,1161,1598,5104,6265,6702,0.6894874629355003,28570808.1960057,8.530024193375066,6084,6816,3258,9342,10074
405.87666555950574,47.65181972901807,4.0,1619.4775563580229,BeadsOnly,0.0374333065577538,0.2046192185700577,7388489.510127087,0.0,8356,10405,4674,13030,15079,0.7953807814299422,28719993.171803445,10.245689714993468,7547,4328,2697,10244,7025
413.97708183643607,22.398036877279022,4.0,1651.8792214657442,BeadsOnly,0.032312818259777054,0.40525569310454324,11568661.934747558,0.0,8557,10576,10072,18629,20648,0.5947443068954568,16977912.811984517,8.373525133603263,2280,2112,8459,10739,10571
363.61255518367955,16.481726972452893,5.0,1813.0263935683977,BeadsOnly,0.026015198145913014,0.23637834824603282,1280510.5456586252,0.0,2014,1188,2562,4576,3750,0.7636216517539671,4136696.8896256518,9.26131879492024,5851,2174,5300,11151,7474
387.5618989628738,16.386742015541834,3.0,1159.6638674786213,BeadsOnly,0.023055884165862982,0.29366078475679486,9394401.696435336,0.0,8767,11080,8268,17035,19348,0.7063392152432052,22596256.17848531,9.211034608323528,1565,10946,10311,11876,21257
319.5043642063885,41.84757957652665,5.0,1592.4854386819427,BeadsOnly,0.0009380611273408477,0.20104045982110427,137044522.14444566,0.0,7868,1703,5400,13268,7103,0.7989595401788957,544631804.4337697,9.185368796290044,10047,5037,2225,12272,7262
509.2863444058007,55.00467460645137,3.0,1524.8372038074021,BeadsOnly,0.0320568613700106,0.31514200609675663,29012598.80700219,0.0,10018,9566,4092,14110,13658,0.6848579939032434,63049386.7287965,10.01564627349511,9178,6327,3434,12612,9761
402.95847142058756,45.160692545500936,4.0,1607.8047798023501,BeadsOnly,0.04256394259970033,0.22468389841550024,11528139.917977432,0.0,9294,6200,2090,11384,8290,0.7753161015844998,39780120.26121368,10.632383090883092,9070,9963,4124,13194,14087
435.4786290680278,23.091329996250472,4.0,1737.885410392111,BeadsOnly,0.004969649372235204,0.27268821223604195,12208421.867767408,0.0,7253,770,6432,13685,7202,0.7273117877639581,32562203.777024537,8.983079102124744,6739,209,6483,13222,6692
449.9119817402106,63.52516951476778,4.0,1795.6188210808423,BeadsOnly,0.003038507294277605,0.16413273489273944,23010568.732241903,0.0,10354,5403,3742,14096,9145,0.8358672651072606,117184309.19554797,10.948796516244753,9487,1164,3821,13308,4985
469.0009582883082,58.254015230212275,2.0,935.9873636366164,BeadsOnly,0.011182585936928993,0.27980977853137406,6993222.667240469,0.0,9701,6217,8831,18532,15048,0.7201902214686259,17999551.723795846,11.031371221587534,10707,5714,3528,14235,9242
449.2310714583043,15.446603659137491,4.0,1792.8951799532172,BeadsOnly,0.009207797815941773,0.21213638787462,9485221.915747944,0.0,4222,5268,6321,10543,11589,0.7878636121253799,35227625.374524765,8.99111733055397,5356,10960,9021,14377,19981
